datetime,load,humidity,temperature
01/10/2022 00:00,4581.220,46,24
01/10/2022 00:05,4553.49,49,22
01/10/2022 00:10,4533.33,44,24
01/10/2022 00:15,4507.54,60,27
01/10/2022 00:20,4489.97,43,20
01/10/2022 00:25,4466.93,66,21
01/10/2022 00:30,4436.77,68,26
01/10/2022 00:35,4412.26,52,32
01/10/2022 00:40,4398.64,56,25
01/10/2022 00:45,4383.53,59,25
01/10/2022 00:50,4357.25,40,23
01/10/2022 00:55,4325.71,41,21
01/10/2022 01:00,4302.5,51,29
01/10/2022 01:05,4261.29,63,31
01/10/2022 01:10,4264.18,67,31
01/10/2022 01:15,4238.29,60,26
01/10/2022 01:20,4204.01,44,26
01/10/2022 01:25,4181.93,42,33
01/10/2022 01:30,4166.31,41,25
01/10/2022 01:35,4149.97,60,20
01/10/2022 01:40,4135.66,56,33
01/10/2022 01:45,4107.87,69,24
01/10/2022 01:50,4094.39,62,22
01/10/2022 01:55,4078.84,63,29
01/10/2022 02:00,4047.09,51,28
01/10/2022 02:05,4024.24,59,27
01/10/2022 02:10,4009.65,57,28
01/10/2022 02:15,3993.82,58,28
01/10/2022 02:20,3974.48,63,21
01/10/2022 02:25,3960.11,46,28
01/10/2022 02:30,3950.06,56,30
01/10/2022 02:35,3935.29,53,23
01/10/2022 02:40,3916.44,55,30
01/10/2022 02:45,3904.71,61,30
01/10/2022 02:50,3887.69,69,20
01/10/2022 02:55,3862.01,53,30
01/10/2022 03:00,3854.17,60,29
01/10/2022 03:05,3832.63,60,33
01/10/2022 03:10,3821.25,61,32
01/10/2022 03:15,3816.11,53,32
01/10/2022 03:20,3805.16,59,33
01/10/2022 03:25,3782.08,57,25
01/10/2022 03:30,3791.1,66,23
01/10/2022 03:35,3764.02,63,21
01/10/2022 03:40,3758.86,55,24
01/10/2022 03:45,3748.24,57,24
01/10/2022 03:50,3725.62,51,24
01/10/2022 03:55,3726.49,66,32
01/10/2022 04:00,3720.77,43,23
01/10/2022 04:05,3701.21,44,27
01/10/2022 04:10,3692.81,41,28
01/10/2022 04:15,3695.98,55,32
01/10/2022 04:20,3680.2,43,23
01/10/2022 04:25,3676.24,42,29
01/10/2022 04:30,3669.78,46,23
01/10/2022 04:35,3677.76,62,31
01/10/2022 04:40,3673.1,66,24
01/10/2022 04:45,3650.79,40,30
01/10/2022 04:50,3645.86,41,23
01/10/2022 04:55,3647.79,50,33
01/10/2022 05:00,3652.68,66,25
01/10/2022 05:05,3655.05,57,30
01/10/2022 05:10,3659.34,68,31
01/10/2022 05:15,3659.84,55,22
01/10/2022 05:20,3690.24,55,26
01/10/2022 05:25,3675.48,41,30
01/10/2022 05:30,3676.83,67,32
01/10/2022 05:35,3696.04,46,26
01/10/2022 05:40,3695.69,68,29
